"Ref","Value","MPN","Manufacturer","Package","Datasheet"
"C1","2.2uF","GRM188R61H225KE11D","Murata Electronics","0603","https://datasheet.lcsc.com/lcsc/1912111437_Murata-Electronics-GRM188R61H225KE11D_C162273.pdf"
"C2","22uF","EEEHBH220UAP","Panasonic","SMD (6.3x5.8mm)","https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-EEEHBH220UAP_C401821.pdf"
"C3","10uF","CL21A106KAYNNNE","Samsung Electro-Mechanics","0805","https://datasheet.lcsc.com/szlcsc/1811121310_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf"
"C4","22uF","C2012X5R0J226MT000N","TDK","0805","https://datasheet.lcsc.com/szlcsc/1912111437_TDK-C2012X5R0J226MT000N_C329961.pdf"
"C5","1nF","GCM155R71H102KA37D","Murata Electronics","0402","https://datasheet.lcsc.com/lcsc/1811081510_Murata-Electronics-GCM155R71H102KA37D_C126532.pdf"
"C6","22nF","GRM155R71E223JA61D","Murata Electronics","0402","https://datasheet.lcsc.com/lcsc/1912111437_Murata-Electronics-GRM155R71E223JA61D_C426639.pdf"
"C7","100nF","CC0402KRX7R7BB104","Yageo","0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"C8","2.2uF","GRM188R61H225KE11D","Murata Electronics","0603","https://datasheet.lcsc.com/lcsc/1912111437_Murata-Electronics-GRM188R61H225KE11D_C162273.pdf"
"C9","22uF","EEEHBH220UAP","Panasonic","SMD (6.3x5.8mm)","https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-EEEHBH220UAP_C401821.pdf"
"C10","1nF","GCM155R71H102KA37D","Murata Electronics","0402","https://datasheet.lcsc.com/lcsc/1811081510_Murata-Electronics-GCM155R71H102KA37D_C126532.pdf"
"C11","22nF","GRM155R71E223JA61D","Murata Electronics","0402","https://datasheet.lcsc.com/lcsc/1912111437_Murata-Electronics-GRM155R71E223JA61D_C426639.pdf"
"J1","J_Molex-PicoBlade-4P-P1.25mm","0530470410","Molex","Through Hole, P=1.25mm","https://www.molex.com/pdm_docs/sd/530470410_sd.pdf"
"J2","JST-XH-B2B","B2B-XH-A(LF)(SN)","JST Sales America","Through Hole, P=2.5mm","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"J3","J_Molex-PicoBlade-3P-P1.25mm","0530470310","Molex","Through Hole, P=1.25mm","https://www.molex.com/pdm_docs/sd/530470310_sd.pdf"
"J4","J_Molex-PicoBlade-3P-P1.25mm","0530470310","Molex","Through Hole, P=1.25mm","https://www.molex.com/pdm_docs/sd/530470310_sd.pdf"
"J5","JST-XH-B4B","B4B-XH-A(LF)(SN)","JST Sales America","Through Hole, P=2.5mm","https://datasheet.lcsc.com/szlcsc/1811151545_JST-Sales-America-B4B-XH-A-LF-SN_C144395.pdf"
"J7","J_Molex-PicoBlade-4P-P1.25mm","0530470410","Molex","Through Hole, P=1.25mm","https://www.molex.com/pdm_docs/sd/530470410_sd.pdf"
"L1","2.2uH","VLCF4020T-2R2N1R7","TDK","4x4x2mm","https://datasheet.lcsc.com/szlcsc/1810211523_TDK-VLCF4020T-2R2N1R7_C136245.pdf"
"Q1","NCE2060K","NCE2060K","Wuxi NCE Power Semiconductor","TO-252-2L","http://www.ncepower.com/Upload/MOSFET/NCE2060Kdatasheet-15115513193.pdf"
